iter	MultiClass
399	0.8998873422
400	0.8998131369
401	0.8997726633
402	0.8997378657
403	0.8997254052
404	0.8996792112
405	0.8996086393
406	0.8995385837
407	0.8994992992
408	0.8994259304
409	0.8993569097
410	0.8993317306
411	0.8992558036
412	0.8991935365
413	0.8991359513
414	0.8990837096
415	0.8990616258
416	0.8990142463
417	0.8989373618
418	0.8988676879
419	0.8988062593
420	0.898710434
421	0.8986458135
422	0.8985961858
423	0.8985426792
424	0.8985233197
425	0.8984430735
426	0.8983514803
427	0.8982963262
428	0.8982424244
429	0.8981793093
430	0.8981036797
431	0.8980406473
432	0.8979797421
433	0.8979133953
434	0.8978756742
435	0.8978537929
436	0.8978295782
437	0.8977544845
438	0.8976867225
439	0.8976445424
440	0.8976172527
441	0.8975584342
442	0.8974945638
443	0.8973993892
444	0.8973351416
445	0.8973024383
446	0.8972760716
447	0.8972046547
448	0.8971458446
449	0.8970640156
450	0.8970261907
451	0.8969947354
452	0.8969156089
453	0.8968726436
454	0.8968037808
455	0.8967272909
456	0.8966805061
457	0.8966518214
458	0.8965928086
459	0.8965178517
460	0.8964867675
461	0.8964488786
462	0.8964120067
463	0.8963418792
464	0.8962829249
465	0.8962401491
466	0.8961816747
467	0.8961418367
468	0.8960810559
469	0.8960116605
470	0.8959573833
471	0.8958904252
472	0.8958081381
473	0.8957248291
474	0.8956726013
475	0.8956326208
476	0.8955759331
477	0.8955422283
478	0.8954980481
479	0.8954393218
480	0.8953867067
481	0.8953093107
482	0.89527187
483	0.895218389
484	0.8951620817
485	0.8950956102
486	0.8950273734
487	0.8949988472
488	0.8949254135
489	0.894882465
490	0.8948401425
491	0.8948058236
492	0.8947736874
493	0.8947263932
494	0.8946898708
495	0.8946622091
496	0.8946341477
497	0.8946048323
498	0.8945462894
499	0.8944471931
500	0.8944151037
501	0.8943450554
502	0.894316922
503	0.8942830586
504	0.8942344602
505	0.8941680113
506	0.8941311736
507	0.8941033051
508	0.8940452518
509	0.894004952
510	0.8939462684
511	0.8939019915
512	0.8938483929
513	0.8938139925
514	0.8937595571
515	0.8937243285
516	0.8936850481
517	0.893623899
518	0.8935876243
519	0.8935214198
520	0.8934860749
521	0.893429089
522	0.8934032142
523	0.8933702618
524	0.8933301895
525	0.8932617292
526	0.8932258927
527	0.8931770082
528	0.8931212768
529	0.893080416
530	0.893058387
531	0.8929726675
532	0.8929222032
533	0.8928500086
534	0.8927784872
535	0.892705418
536	0.892670381
537	0.8926100838
538	0.8925666728
539	0.8925468315
540	0.892477613
541	0.8924169289
542	0.8923960031
543	0.8923598304
544	0.8923407441
545	0.8922759319
546	0.8922573758
547	0.8921935502
548	0.8921131197
549	0.8920546145
550	0.8920372801
551	0.891995209
552	0.8919682174
553	0.89190907
554	0.8918794133
555	0.891860343
556	0.8918094833
557	0.8917684038
558	0.8916921253
559	0.8916673564
560	0.8916106183
561	0.8915812712
562	0.8915660614
563	0.8915019607
564	0.8914694745
565	0.8913908457
566	0.8913709716
567	0.8913415922
568	0.8913189619
569	0.8912845293
570	0.8912246459
571	0.8911858228
572	0.8911503281
573	0.8911191796
574	0.891060158
575	0.8910333361
576	0.8909983928
577	0.8909278175
578	0.8908873959
579	0.890845065
580	0.8907892719
581	0.89073891
582	0.8907201581
583	0.8906778651
584	0.8906679456
585	0.8906154846
586	0.8905849171
587	0.8905458372
588	0.8904940445
589	0.8904740979
590	0.8904426047
591	0.8903996972
592	0.8903219822
593	0.8903052464
594	0.8902601575
595	0.8902116192
596	0.8901686904
597	0.8901213399
598	0.8900870155
599	0.8900268112
600	0.8899678002
601	0.8899294353
602	0.8898715543
603	0.8898398393
604	0.8897951545
605	0.8897572546
606	0.8897075941
607	0.8896471521
608	0.8895936839
609	0.8895406018
610	0.889495806
611	0.8894398721
612	0.8893862909
613	0.8893327577
614	0.8892712603
615	0.8892081957
616	0.8891329941
617	0.8890735421
618	0.8890217439
619	0.8889742786
620	0.8889369167
621	0.8888903191
622	0.8888355672
623	0.8887916485
624	0.8887458219
625	0.8887173595
626	0.8886860851
627	0.888648767
628	0.8885917692
629	0.8885306126
630	0.8884948124
631	0.8884815487
632	0.8884192867
633	0.8883636817
634	0.888322291
635	0.8883000763
636	0.8882615789
637	0.8882328055
638	0.8881576332
639	0.8881308781
640	0.8881001344
641	0.888067984
642	0.8880257718
643	0.8879591317
644	0.8879302809
645	0.8879084233
646	0.8878813308
647	0.8878393009
648	0.887775015
649	0.8877309529
650	0.8877120709
651	0.8876639464
652	0.8876163544
653	0.8875686995
654	0.8875172639
655	0.8874961253
656	0.8874383769
657	0.8873903734
658	0.8873584784
659	0.8873106976
660	0.8872650917
661	0.8872255042
662	0.8871332636
663	0.8870888909
664	0.8870333292
665	0.8870077845
666	0.8869941843
667	0.8869570439
668	0.8869128941
669	0.8868642078
670	0.8868002248
671	0.8867735093
672	0.8867102413
673	0.8866611651
674	0.8866212252
675	0.8865657402
676	0.8865359602
677	0.88649322
678	0.8864535381
679	0.8863964576
680	0.88632525
681	0.8863094775
682	0.8862739986
683	0.8862438014
684	0.8861975904
685	0.8861383505
686	0.8861191511
687	0.8860855558
688	0.8860576412
689	0.8859971199
690	0.8859616048
691	0.8859461329
692	0.8858884737
693	0.8858288275
694	0.8857631231
695	0.8857266415
696	0.8856650936
697	0.8856184182
698	0.8855683147
699	0.8855267477
700	0.8854963794
701	0.8854438929
702	0.8854056587
703	0.885374386
704	0.8853097342
705	0.8852565893
706	0.8851945817
707	0.8851591562
708	0.8851291116
709	0.8850867804
710	0.8850431868
711	0.8849912601
712	0.8849524825
713	0.8849355226
714	0.8848947203
715	0.8848589488
716	0.8848270059
717	0.8847576365
718	0.8846996992
719	0.8846102181
720	0.8845474753
721	0.8844973221
722	0.8844672335
723	0.8844254123
724	0.8843876792
725	0.8843576301
726	0.884305672
727	0.8842945683
728	0.8842414702
729	0.8842091066
730	0.884195049
731	0.8841400484
732	0.8841018433
733	0.8840582765
734	0.8840234397
735	0.8839922964
736	0.8839364802
737	0.8838671729
738	0.8838291537
739	0.8837700688
740	0.8837030419
741	0.883645746
742	0.8836239449
743	0.883591896
744	0.883580671
745	0.8835505934
746	0.8835160525
747	0.883477053
748	0.8834392316
749	0.8834033917
750	0.8833729025
751	0.8833374945
752	0.8832926071
753	0.8832320331
754	0.8831798948
755	0.8831419729
756	0.8830965025
757	0.8830334608
758	0.8829796213
759	0.8829220997
760	0.8828901544
761	0.8828278002
762	0.882800927
763	0.882768656
764	0.8827332792
765	0.8826784033
766	0.882645748
767	0.8826118828
768	0.8825732942
769	0.8825542495
770	0.8825224459
771	0.8824737663
772	0.8824445451
773	0.8824007154
774	0.8823407285
775	0.8823243781
776	0.8822770988
777	0.8822559099
778	0.8822104203
779	0.8821801402
780	0.8821336364
781	0.8820987202
782	0.8820772215
783	0.88205367
784	0.8819636596
785	0.881897152
786	0.8818600256
787	0.8818060579
788	0.881740965
789	0.8817195141
790	0.8816668026
791	0.8816118779
792	0.8815817611
793	0.8815522121
794	0.8815210646
795	0.8814926584
796	0.8814527754
797	0.8813942535
798	0.8813429045
799	0.8812881537
800	0.8812367804
801	0.8812133233
802	0.8811771556
803	0.8811584177
804	0.8811097435
805	0.8810421284
806	0.8809820035
807	0.8809005741
808	0.8808812965
809	0.8808353167
810	0.8808121783
811	0.8807639778
812	0.8807216728
813	0.8806557732
814	0.8806186242
815	0.8805882358
816	0.8805302023
817	0.880469452
818	0.880408988
819	0.88038123
820	0.88032753
821	0.8803155174
822	0.8802571499
823	0.8802082468
824	0.880150175
825	0.8800999841
826	0.8800461898
827	0.8799946709
828	0.8799605089
829	0.8799209155
830	0.8798718718
831	0.8798619493
832	0.8798353942
833	0.8797831164
834	0.879758896
835	0.8796996924
836	0.8796676994
837	0.8796441301
838	0.879611201
839	0.879558562
840	0.8795078697
841	0.8794833375
842	0.879440585
843	0.879381375
844	0.8793313074
845	0.8792748399
846	0.8792120202
847	0.8791527033
848	0.8791206961
849	0.8790926874
850	0.8790476457
851	0.8790033164
852	0.8789464305
853	0.8789044537
854	0.8788546477
855	0.8788080099
856	0.8787744479
857	0.8787498764
858	0.8786795223
859	0.8786382789
860	0.8785813658
861	0.8785080151
862	0.8784520085
863	0.878421618
864	0.8783718685
865	0.8783256646
866	0.8782761162
867	0.8782441967
868	0.8782141309
869	0.8781877581
870	0.8781418807
871	0.8781202471
872	0.8780765812
873	0.8780494593
874	0.8779801235
875	0.8779407311
876	0.87791505
877	0.8778710565
878	0.8778190477
879	0.877787713
880	0.8777200812
881	0.8776987971
882	0.8776773097
883	0.8776382426
884	0.8775850595
885	0.8775500801
886	0.8774982542
887	0.8774285625
888	0.8773844396
889	0.8773369645
890	0.8772799345
891	0.8772464058
892	0.8771958622
893	0.8771294272
894	0.8770709407
895	0.8770062376
896	0.8769633385
897	0.8769198297
898	0.8768669047
899	0.8768280755
900	0.8767864818
901	0.8767734657
902	0.8767259058
903	0.8766981489
904	0.876683217
905	0.8766332382
906	0.8765597003
907	0.8765246955
908	0.8765050446
909	0.876449933
910	0.8764242961
911	0.8763833778
912	0.8763416239
913	0.8762924918
914	0.8762441304
915	0.8761861452
916	0.8761085147
917	0.8760583121
918	0.875998445
919	0.8759613129
920	0.8759305269
921	0.8759104799
922	0.8758467437
923	0.8758216462
924	0.8757921264
925	0.8757356291
926	0.8757085255
927	0.875668501
928	0.8756106041
929	0.8755830126
930	0.8755551266
931	0.8755107584
932	0.8754662198
933	0.8754218665
934	0.8753525754
935	0.8752804105
936	0.8752453989
937	0.8751835404
938	0.8751663463
939	0.8751078757
940	0.8750523136
941	0.8750129859
942	0.8749623702
943	0.8749093042
944	0.8748866474
945	0.8748392772
946	0.8748233897
947	0.8748009582
948	0.8747718402
949	0.8747438801
950	0.8747070931
951	0.8746563658
952	0.8746239563
953	0.8745590687
954	0.8745417412
955	0.8745006668
956	0.8744383983
957	0.8743952924
958	0.8743604906
959	0.8743367258
960	0.8743038276
961	0.8742819846
962	0.8742000746
963	0.8741620909
964	0.8741286652
965	0.8740984958
966	0.8740312276
967	0.873975431
968	0.8739366655
969	0.8738955343
970	0.8738622207
971	0.873824147
972	0.8737828371
973	0.8737640727
974	0.8737100845
975	0.8736600603
976	0.873614627
977	0.8735619864
978	0.8735178831
979	0.8734768251
980	0.8734127066
981	0.8733713286
982	0.8733167521
983	0.8732885107
984	0.873271573
985	0.8732111036
986	0.8731373132
987	0.8730724138
988	0.8730347878
989	0.872997975
990	0.8729338252
991	0.8728961272
992	0.872855351
993	0.8728118717
994	0.8727783161
995	0.872733135
996	0.8726849816
997	0.8726268094
998	0.8725991736
999	0.8725607595
