,symbol,datetime,close,high,low,open,volume,change_in_price,down_days,up_days,RSI,low_14,high_14,k_percent,r_percent,MACD,MACD_EMA,Price_Rate_Of_Change,On Balance Volume,Prediction
2029,ARWR,1514959200000,4.64,4.88,3.77,3.79,5875479,0.9199999999999995,0.0,0.9199999999999995,82.45132371555003,3.01,4.88,87.16577540106951,-12.834224598930492,0.11497928002818014,0.06132112478406495,0.4233128834355828,10352916,1.0
2030,ARWR,1515045600000,4.85,5.13,4.5,4.58,3402024,0.20999999999999996,0.0,0.20999999999999996,84.74260263584243,3.05,5.13,86.53846153846153,-13.461538461538472,0.1640486580288436,0.08261587380615208,0.4139941690962097,13754940,1.0
2031,ARWR,1515132000000,4.87,5.23,4.66,4.86,2278246,0.020000000000000462,0.0,0.020000000000000462,84.95841964647421,3.08,5.23,83.25581395348836,-16.74418604651164,0.20043327933843758,0.10686181755789413,0.44082840236686405,16033186,1.0
2032,ARWR,1515391200000,4.55,4.9,4.37,4.88,2659533,-0.3200000000000003,0.3200000000000003,0.0,67.36637612874398,3.14,5.23,67.46411483253586,-32.53588516746414,0.2058912079403865,0.12712395848606173,0.2264150943396226,13373653,-1.0
2033,ARWR,1515477600000,4.62,4.9,4.455,4.58,1430439,0.07000000000000028,0.0,0.07000000000000028,68.98723897168503,3.2271,5.23,69.54416096659843,-30.455839033401578,0.21195702408583283,0.144401821923368,0.21899736147757265,14804092,1.0
2034,ARWR,1515564000000,4.4,4.71,4.31,4.57,1966340,-0.21999999999999975,0.21999999999999975,0.0,58.457990122256355,3.27,5.23,57.6530612244898,-42.3469387755102,0.19992784479908998,0.15566940954950256,0.14583333333333348,12837752,-1.0
2035,ARWR,1515650400000,5.04,5.47,4.37,4.44,4867172,0.6399999999999997,0.0,0.6399999999999997,72.5307789384284,3.37,5.47,79.52380952380953,-20.476190476190467,0.22996179325540123,0.1707011909307522,0.2695214105793451,17704924,1.0
2036,ARWR,1515736800000,5.72,6.25,5.0106,5.17,7345087,0.6799999999999997,0.0,0.6799999999999997,80.59133726126854,3.424,6.25,81.24557678697806,-18.754423213021948,0.29539895984955145,0.19587291287077313,0.5543478260869563,25050011,1.0
2037,ARWR,1516082400000,5.6,5.91,5.3041,5.9,2922293,-0.1200000000000001,0.1200000000000001,0.0,76.04748821873504,3.57,6.25,75.74626865671641,-24.253731343283594,0.33449217085047245,0.2238028510352388,0.5053763440860213,22127718,-1.0
2038,ARWR,1516168800000,5.72,5.86,5.37,5.59,1863618,0.1200000000000001,0.0,0.1200000000000001,77.5105487605091,3.57,6.25,80.22388059701491,-19.77611940298508,0.36899790417659606,0.253014295596903,0.23275862068965525,23991336,1.0
2039,ARWR,1516255200000,5.72,5.81,5.4,5.41,5108776,0.0,0.0,0.0,77.5105487605091,3.57,6.25,80.22388059701491,-19.77611940298508,0.3914423813536887,0.2808312747181169,0.1793814432989691,23991336,0.0
2040,ARWR,1516341600000,6.29,6.4,5.74,5.82,4723066,0.5700000000000003,0.0,0.5700000000000003,83.7771057707524,3.57,6.4,96.113074204947,-3.886925795053014,0.44391152400643286,0.3135710118054434,0.2915811088295688,28714402,1.0
2041,ARWR,1516600800000,6.39,6.75,6.27,6.31,3043385,0.09999999999999964,0.0,0.09999999999999964,84.64331095390675,3.57,6.75,88.67924528301886,-11.320754716981142,0.486575454273555,0.34827679208373646,0.4043956043956043,31757787,1.0
2042,ARWR,1516687200000,6.28,6.59,6.24,6.46,2269747,-0.10999999999999943,0.10999999999999943,0.0,79.27115954578053,3.77,6.75,84.2281879194631,-15.771812080536904,0.5063339218914615,0.37996483503186756,0.35930735930735924,29488040,-1.0
2043,ARWR,1516773600000,6.11,6.43,5.835,6.31,2069802,-0.16999999999999993,0.16999999999999993,0.0,71.21161367789301,4.31,6.75,73.7704918032787,-26.229508196721298,0.5036828641617763,0.4047563947084116,0.38863636363636367,27418238,-1.0
2044,ARWR,1516860000000,6.29,6.38,6.06,6.19,970888,0.17999999999999972,0.0,0.17999999999999972,74.39240803261426,4.31,6.75,81.14754098360656,-18.85245901639344,0.5087325093052124,0.4255838465484581,0.24801587301587302,28389126,1.0
